code;text_long;text;version;year
1;Therapeutic ultrasound of vessels of head and neck;Ther ult head & neck ves;32;2015
2;Therapeutic ultrasound of heart;Ther ultrasound of heart;32;2015
3;Therapeutic ultrasound of peripheral vascular vessels;Ther ult peripheral ves;32;2015
9;Other therapeutic ultrasound;Other therapeutic ultsnd;32;2015
10;Implantation of chemotherapeutic agent;Implant chemothera agent;32;2015
11;Infusion of drotrecogin alfa (activated);Infus drotrecogin alfa;32;2015
12;Administration of inhaled nitric oxide;Adm inhal nitric oxide;32;2015
13;Injection or infusion of nesiritide;Inject/infus nesiritide;32;2015
14;Injection or infusion of oxazolidinone class of antibiotics;Injection oxazolidinone;32;2015
15;High-dose infusion interleukin-2 [IL-2];High-dose infusion IL-2;32;2015
16;Pressurized treatment of venous bypass graft [conduit] with pharmaceutical substance;Pressurized treat graft;32;2015
17;Infusion of vasopressor agent;Infusion of vasopressor;32;2015
18;Infusion of immunosuppressive antibody therapy;Infus immunosup antibody;32;2015
19;Disruption of blood brain barrier via infusion [BBBD];BBBD via infusion;32;2015
21;Intravascular imaging of extracranial cerebral vessels;IVUS extracran cereb ves;32;2015
22;Intravascular imaging of intrathoracic vessels;IVUS intrathoracic ves;32;2015
23;Intravascular imaging of peripheral vessels;IVUS peripheral vessels;32;2015
24;Intravascular imaging of coronary vessels;IVUS coronary vessels;32;2015
25;Intravascular imaging of renal vessels;IVUS renal vessels;32;2015
28;Intravascular imaging, other specified vessel(s);Intravascul imaging NEC;32;2015
29;Intravascular imaging, unspecified vessel(s);Intravascul imaging NOS;32;2015
31;Computer assisted surgery with CT/CTA;CAS w CT/CTA;32;2015
32;Computer assisted surgery with MR/MRA;CAS w MR/MRA;32;2015
33;Computer assisted surgery with fluoroscopy;CAS w fluoroscopy;32;2015
34;Imageless computer assisted surgery;Imageless comp asst surg;32;2015
35;Computer assisted surgery with multiple datasets;CAS w multiple datasets;32;2015
39;Other computer assisted surgery;Other CAS;32;2015
40;Procedure on single vessel;Procedure-one vessel;32;2015
41;Procedure on two vessels;Procedure-two vessels;32;2015
42;Procedure on three vessels;Procedure-three vessels;32;2015
43;Procedure on four or more vessels;Procedure-four+ vessels;32;2015
44;Procedure on vessel bifurcation;Proc-vessel bifurcation;32;2015
45;Insertion of one vascular stent;Insert 1 vascular stent;32;2015
46;Insertion of two vascular stents;Insert 2 vascular stents;32;2015
47;Insertion of three vascular stents;Insert 3 vascular stents;32;2015
48;Insertion of four or more vascular stents;Insert 4+ vasculr stents;32;2015
49;Supersaturated oxygen therapy;SuperSat O2 therapy;32;2015
50;Implantation of cardiac resynchronization pacemaker without mention of defibrillation, total system [CRT-P];Impl CRT pacemaker sys;32;2015
51;Implantation of cardiac resynchronization defibrillator, total system [CRT-D];Impl CRT defibrillat sys;32;2015
52;Implantation or replacement of transvenous lead [electrode] into left ventricular coronary venous system;Imp/rep lead lf ven sys;32;2015
53;Implantation or replacement of cardiac resynchronization pacemaker pulse generator only [CRT-P];Imp/rep CRT pacemakr gen;32;2015
54;Implantation or replacement of cardiac resynchronization defibrillator pulse generator only [CRT-D];Imp/rep CRT defib genat;32;2015
55;Insertion of drug-eluting stent(s) of other peripheral vessel(s);Ins d-e stent oth periph;32;2015
56;Insertion or replacement of implantable pressure sensor with lead for intracardiac or great vessel hemodynamic monitoring;Ins/rep sens-crd/vsl mtr;32;2015
57;Implantation or replacement of subcutaneous device for intracardiac or great vessel hemodynamic monitoring;Imp/rep subcue card dev;32;2015
58;Insertion of intra-aneurysm sac pressure monitoring device (intraoperative);Ins intra-ansm pres mntr;32;2015
59;Intravascular pressure measurement of coronary arteries;Intravasc msmnt cor art;32;2015
60;Insertion of drug-eluting stent(s) of superficial femoral artery;Ins d-e stnt sup fem art;32;2015
61;Percutaneous angioplasty of extracranial vessel(s);Perc angio extracran ves;32;2015
62;Percutaneous angioplasty of intracranial vessel(s);Perc angio intracran ves;32;2015
63;Percutaneous insertion of carotid artery stent(s);Perc ins carotid stent;32;2015
64;Percutaneous insertion of other extracranial artery stent(s);Perc ins extracran stent;32;2015
65;Percutaneous insertion of intracranial vascular stent(s);Perc ins intracran stent;32;2015
66;Percutaneous transluminal coronary angioplasty [PTCA];PTCA;32;2015
67;Intravascular pressure measurement of intrathoracic arteries;Intravas msmnt thorc art;32;2015
68;Intravascular pressure measurement of peripheral arteries;Intravas msmt periph art;32;2015
69;Intravascular pressure measurement, other specified and unspecified vessels;Intravs msmt ves NEC/NOS;32;2015
70;Revision of hip replacement, both acetabular and femoral components;Rev hip repl-acetab/fem;32;2015
71;Revision of hip replacement, acetabular component;Rev hip repl-acetab comp;32;2015
72;Revision of hip replacement, femoral component;Rev hip repl-fem comp;32;2015
73;Revision of hip replacement, acetabular liner and/or femoral head only;Rev hip repl-liner/head;32;2015
74;Hip bearing surface, metal-on-polyethylene;Hip surface, metal/poly;32;2015
75;Hip bearing surface, metal-on-metal;Hip surface, metal/metal;32;2015
76;Hip bearing surface, ceramic-on-ceramic;Hip surface, cermc/cermc;32;2015
77;Hip bearing surface, ceramic-on-polyethylene;Hip surface, cermc/poly;32;2015
80;Revision of knee replacement, total (all components);Rev knee replacemt-total;32;2015
81;Revision of knee replacement, tibial component;Rev knee repl-tibia comp;32;2015
82;Revision of knee replacement, femoral component;Rev knee repl-femur comp;32;2015
83;Revision of knee replacement, patellar component;Rev knee replace-patella;32;2015
84;Revision of total knee replacement, tibial insert (liner);Rev knee repl-tibia lin;32;2015
85;Resurfacing hip, total, acetabulum and femoral head;Resrf hip,total-acet/fem;32;2015
86;Resurfacing hip, partial, femoral head;Resrf hip,part-fem head;32;2015
87;Resurfacing hip, partial, acetabulum;Resrf hip,part-acetablum;32;2015
91;Transplant from live related donor;Trnsplnt live rel donor;32;2015
92;Transplant from live non-related donor;Trnsplnt live nonrel don;32;2015
93;Transplant from cadaver;Transplant cadaver donor;32;2015
94;Intra-operative neurophysiologic monitoring;Intra-op neurophys montr;32;2015
95;Injection or infusion of glucarpidase;Injct/infus glucarpidase;32;2015
96;Infusion of 4-Factor Prothrombin Complex Concentrate;Infusion 4F-PCC;32;2015
101;Cisternal puncture;Cisternal puncture;32;2015
102;Ventriculopuncture through previously implanted catheter;Ventricl shunt tube punc;32;2015
109;Other cranial puncture;Cranial puncture NEC;32;2015
110;Intracranial pressure monitoring;Intracran pressure montr;32;2015
111;Closed [percutaneous] [needle] biopsy of cerebral meninges;Clos cereb meninges bx;32;2015
112;Open biopsy of cerebral meninges;Open cereb meninges bx;32;2015
113;Closed [percutaneous] [needle] biopsy of brain;Closed brain biopsy;32;2015
114;Open biopsy of brain;Open brain biopsy;32;2015
115;Biopsy of skull;Skull biopsy;32;2015
116;Intracranial oxygen monitoring;Intracranial 02 monitor;32;2015
117;Brain temperature monitoring;Brain temp monitoring;32;2015
118;Other diagnostic procedures on brain and cerebral meninges;Other brain dx procedure;32;2015
119;Other diagnostic procedures on skull;Other skull dx procedure;32;2015
120;Cranial implantation or replacement of neurostimulator pulse generator;Imp/repl brain pulse gen;32;2015
121;Incision and drainage of cranial sinus;Cranial sinus i & d;32;2015
122;Removal of intracranial neurostimulator lead(s);Removal brain stim lead;32;2015
123;Reopening of craniotomy site;Reopen craniotomy site;32;2015
124;Other craniotomy;Other craniotomy;32;2015
125;Other craniectomy;Other craniectomy;32;2015
126;Insertion of catheter(s) into cranial cavity or tissue;Ins cath cranial cav/tis;32;2015
127;Removal of catheter(s) from cranial cavity or tissue;Rem cath cranial cav/tis;32;2015
128;Placement of intracerebral catheter(s) via burr hole(s);Intracereb cth-burr hole;32;2015
129;Removal of cranial neurostimulator pulse generator;Rem brain pulse generatr;32;2015
131;Incision of cerebral meninges;Incise cerebral meninges;32;2015
132;Lobotomy and tractotomy;Lobotomy & tractotomy;32;2015
139;Other incision of brain;Other brain incision;32;2015
141;Operations on thalamus;Thalamus operations;32;2015
142;Operations on globus pallidus;Globus pallidus ops;32;2015
