"drg","drgnum","drgweight","drgsys","drgvers","glos","trim","low","alos","fydate","fyear"
"001",1,25.3518,"MS-DRG",31,28.2999992370605,0,,35.9000015258789,10/1/2013,2014
"002",2,15.2738,"MS-DRG",31,15.8999996185303,0,,18.6000003814697,10/1/2013,2014
"003",3,17.6369,"MS-DRG",31,27.2000007629395,0,,33.2000007629395,10/1/2013,2014
"004",4,10.9288,"MS-DRG",31,20.2999992370605,0,,24.7000007629395,10/1/2013,2014
"005",5,10.4214,"MS-DRG",31,15.1000003814697,0,,20.1000003814697,10/1/2013,2014
"006",6,4.7639,"MS-DRG",31,7.90000009536743,0,,9,10/1/2013,2014
"007",7,9.1929,"MS-DRG",31,15.3999996185303,0,,17.8999996185303,10/1/2013,2014
"008",8,5.1527,"MS-DRG",31,9.5,0,,11,10/1/2013,2014
"009",9,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"010",10,4.1554,"MS-DRG",31,8.80000019073486,0,,10.3000001907349,10/1/2013,2014
"011",11,4.7246,"MS-DRG",31,11.3999996185303,0,,14,10/1/2013,2014
"012",12,3.2291,"MS-DRG",31,8.30000019073486,0,,9.80000019073486,10/1/2013,2014
"013",13,2.1647,"MS-DRG",31,5.69999980926514,0,,6.5,10/1/2013,2014
"014",14,10.6157,"MS-DRG",31,20.7000007629395,0,,26.2000007629395,10/1/2013,2014
"015",15,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"016",16,6.0304,"MS-DRG",31,18.1000003814697,0,,19.5,10/1/2013,2014
"017",17,4.2906,"MS-DRG",31,9.89999961853027,0,,13.1999998092651,10/1/2013,2014
"018",18,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"019",19,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"020",20,9.3897,"MS-DRG",31,14.3000001907349,0,,17.3999996185303,10/1/2013,2014
"021",21,6.4458,"MS-DRG",31,11.8999996185303,0,,13.3999996185303,10/1/2013,2014
"022",22,4.7113,"MS-DRG",31,5.5,0,,7.30000019073486,10/1/2013,2014
"023",23,5.1587,"MS-DRG",31,8,0,,11.1999998092651,10/1/2013,2014
"024",24,3.7121,"MS-DRG",31,4.5,0,,6.59999990463257,10/1/2013,2014
"025",25,4.4422,"MS-DRG",31,7.80000019073486,0,,10.1000003814697,10/1/2013,2014
"026",26,2.9842,"MS-DRG",31,5,0,,6.5,10/1/2013,2014
"027",27,2.2505,"MS-DRG",31,2.59999990463257,0,,3.40000009536743,10/1/2013,2014
"028",28,5.4339,"MS-DRG",31,9.60000038146973,0,,12.3000001907349,10/1/2013,2014
"029",29,3.0782,"MS-DRG",31,4.59999990463257,0,,6.19999980926514,10/1/2013,2014
"030",30,1.8091,"MS-DRG",31,2.5,0,,3.29999995231628,10/1/2013,2014
"031",31,3.946,"MS-DRG",31,7.69999980926514,0,,11,10/1/2013,2014
"032",32,1.978,"MS-DRG",31,3.40000009536743,0,,4.90000009536743,10/1/2013,2014
"033",33,1.5226,"MS-DRG",31,2,0,,2.5,10/1/2013,2014
"034",34,3.4145,"MS-DRG",31,4.69999980926514,0,,6.90000009536743,10/1/2013,2014
"035",35,2.1781,"MS-DRG",31,2.09999990463257,0,,3.09999990463257,10/1/2013,2014
"036",36,1.7224,"MS-DRG",31,1.29999995231628,0,,1.5,10/1/2013,2014
"037",37,3.0641,"MS-DRG",31,5.5,0,,7.90000009536743,10/1/2013,2014
"038",38,1.5958,"MS-DRG",31,2.40000009536743,0,,3.5,10/1/2013,2014
"039",39,1.0452,"MS-DRG",31,1.39999997615814,0,,1.60000002384186,10/1/2013,2014
"040",40,3.7851,"MS-DRG",31,8.30000019073486,0,,11,10/1/2013,2014
"041",41,2.1731,"MS-DRG",31,5,0,,6.40000009536743,10/1/2013,2014
"042",42,1.8616,"MS-DRG",31,2.59999990463257,0,,3.40000009536743,10/1/2013,2014
