"revpanstr","revpan","medspecstr","medspec","prodcode","devname","devclassstr","devclass","unclass","gmpexempt","thirdpartystr","thirdparty","revcode3str","revcode3","regnum","typeid","def","physstate","techmeth","targetarea","implant","lifesust"
"HO",7279,"HO",7279,"BRT","Restraint, Patient, Conductive","1",1,,"N","Y",89,"M",77,880.676025390625,4,,,,,"N","N"
"AN",6578,"AN",6578,"BRW","Protector, Dental","1",1,,"N","N",78,,,868.581970214844,4,,,,,"N","N"
"AN",6578,"AN",6578,"BRX","Stool, Anesthesia","1",1,,"N","N",78,,,868.669982910156,4,,,,,"N","N"
"AN",6578,"AN",6578,"BRY","Cabinet, Table And Tray, Anesthesia","1",1,,"N","N",78,,,868.609985351562,4,,,,,"N","N"
"HO",7279,"HO",7279,"BRZ","Set, Blood Transfusion","2",2,,"N","Y",89,,,880.544006347656,1,,,,,"N","N"
"HE",7269,"HE",7269,"BSA","Warmer, Blood, Electromagnetic Radiation","3",3,,"N","N",78,,,864.920471191406,2,,,,,"N","N"
"HE",7269,"HE",7269,"BSB","Warmer, Blood, Non-Electromagnetic Radiation","2",2,,"N","N",78,,,864.920471191406,1,,,,,"N","N"
"AN",6578,,,"BSD","Analyzer, Gas, Nitrogen, Partial Pressure, Blood-Phase, Non-Indwelling","3",3,,"N","N",78,,,,2,,,,,"N","N"
"AN",6578,"AN",6578,"BSE","Analyzer, Gas, Helium, Gaseous-Phase","2",2,,"N","P",80,,,868.164001464844,1,,,,,"N","N"
"AN",6578,"AN",6578,"BSF","Absorber, Carbon-Dioxide","1",1,,"N","N",78,,,868.531005859375,4,,,,,"N","N"
"AN",6578,"AN",6578,"BSI","Algesimeter, Powered","2",2,,"N","P",80,,,868.10400390625,4,,,,,"N","N"
"AN",6578,"AN",6578,"BSJ","Mask, Gas, Anesthetic","1",1,,"N","N",78,,,868.554992675781,4,,,,,"N","N"
"AN",6578,"AN",6578,"BSK","Cuff, Tracheal Tube, Inflatable","2",2,,"N","P",80,,,868.575012207031,1,,,,,"N","Y"
"AN",6578,"AN",6578,"BSN","Filter, Conduction, Anesthetic","2",2,,"N","P",80,,,868.513000488281,1,,,,,"N","N"
"AN",6578,"AN",6578,"BSO","Catheter, Conduction, Anesthetic","2",2,,"N","P",80,,,868.512023925781,1,,,,,"N","N"
"AN",6578,"AN",6578,"BSP","Needle, Conduction, Anesthetic (W/Wo Introducer)","2",2,,"N","P",80,,,868.515014648438,1,,,,,"N","N"
"AN",6578,"AN",6578,"BSR","Stylet, Tracheal Tube","1",1,,"N","N",78,,,868.578979492188,4,,,,,"N","N"
"GU",7185,"GU",7185,"BSS","Tube, Nasogastric","2",2,,"N","P",80,,,876.598022460938,1,,,,,"N","N"
"EN",6978,"EN",6978,"BST","Curette, Biopsy, Bronchoscope (Non-Rigid)","2",2,,"N","P",80,,,874.468017578125,1,"If the device is reusable, validated reprocessing instructions and reprocessing validation data for this device type must be included in a 510(k) submission (82 FR 26807, available at https://www.gpo.gov/fdsys/pkg/FR-2017-06-09/pdf/2017-12007.pdf).",,,,"N","N"
"AN",6578,"AN",6578,"BSY","Catheters, Suction, Tracheobronchial","1",1,,"N","N",78,,,868.681030273438,4,,,,,"N","N"
"AN",6578,"AN",6578,"BSZ","Gas-Machine, Anesthesia","2",2,,"N","N",78,,,868.515991210938,1,,,,,"N","Y"
"AN",6578,"AN",6578,"BTB","Hook, Ether","1",1,,"Y","N",78,,,868.5419921875,4,,,,,"N","N"
"AN",6578,"AN",6578,"BTC","Bag, Reservoir","1",1,,"N","N",78,,,868.531982421875,4,,,,,"N","N"
"EN",6978,"EN",6978,"BTG","Brush, Biopsy, Bronchoscope (Non-Rigid)","2",2,,"N","P",80,,,874.468017578125,1,"If the device is reusable, validated reprocessing instructions and reprocessing validation data for this device type must be included in a 510(k) submission (82 FR 26807, available at https://www.gpo.gov/fdsys/pkg/FR-2017-06-09/pdf/2017-12007.pdf).",,,,"N","N"
"AN",6578,"AN",6578,"BTI","Compressor, Air, Portable","2",2,,"N","P",80,,,868.625,4,,,,,"N","N"
"AN",6578,"AN",6578,"BTK","Strap, Head, Gas Mask","1",1,,"N","N",78,,,868.556030273438,4,,,,,"N","N"
"AN",6578,"AN",6578,"BTL","Ventilator, Emergency, Powered (Resuscitator)","2",2,,"N","P",80,,,868.592529296875,1,,,,,"N","Y"
"AN",6578,"AN",6578,"BTM","Ventilator, Emergency, Manual (Resuscitator)","2",2,,"N","P",80,,,868.591491699219,1,,,,,"N","Y"
"AN",6578,"AN",6578,"BTO","Tube, Tracheostomy (W/Wo Connector)","2",2,,"N","P",80,,,868.580017089844,1,,,,,"N","Y"
"AN",6578,"AN",6578,"BTP","Dropper, Ether","1",1,,"Y","N",78,,,868.5419921875,4,,,,,"N","N"
"AN",6578,"AN",6578,"BTQ","Airway, Nasopharyngeal","1",1,,"N","N",78,,,868.510009765625,4,,,,,"N","N"
"AN",6578,"AN",6578,"BTR","Tube, Tracheal (W/Wo Connector)","2",2,,"N","N",78,,,868.572998046875,1,,,,,"N","Y"
"AN",6578,"AN",6578,"BTS","Tube, Bronchial (W/Wo Connector)","2",2,,"N","N",78,,,868.572021484375,1,,,,,"N","Y"
"AN",6578,"AN",6578,"BTT","Humidifier, Respiratory Gas, (Direct Patient Interface)","2",2,,"N","P",80,,,868.544982910156,1,,,,,"N","N"
"AN",6578,"AN",6578,"BTY","Calculator, Predicted Values, Pulmonary Function","2",2,,"N","P",80,,,868.189025878906,1,,,,,"N","N"
"AN",6578,"AN",6578,"BWB","Forceps, Tube Introduction","1",1,,"N","N",78,,,868.578002929688,4,,,,,"N","N"
"AN",6578,"AN",6578,"BWC","Needle, Emergency Airway","2",2,,"N","P",80,,,868.508972167969,1,,,,,"N","Y"
"AN",6578,"AN",6578,"BWF","Spirometer, Therapeutic (Incentive)","2",2,,"N","P",80,,,868.568969726562,1,,,,,"N","N"
"EN",6978,"EN",6978,"BWH","Forceps, Biopsy, Bronchoscope (Non-Rigid)","2",2,,"N","P",80,,,874.468017578125,1,"If the device is reusable, validated reprocessing instructions and reprocessing validation data for this device type must be included in a 510(k) submission (82 FR 26807, available at https://www.gpo.gov/fdsys/pkg/FR-2017-06-09/pdf/2017-12007.pdf).",,,,"N","N"
"HO",7279,"HO",7279,"BWJ","Locator, Acupuncture Point","2",2,,"N","N",78,,,880.557983398438,4,,,,,"N","N"
"NE",7869,,,"BWK","Stimulator, Electro-Acupuncture","U",85,1,"N","N",78,,,,1,,,,,"N","N"
"AN",6578,"AN",6578,"BWL","Apparatus, Electronanesthesia","3",3,,"N","N",78,,,868.539978027344,2,"Call for PMAs 12/26/96 (61 FR 50706 (9/27/96))",,,,"N","N"
"AN",6578,"AN",6578,"BXA","Analyzer, Gas, Water Vapor, Gaseous-Phase","1",1,,"N","N",78,,,868.197509765625,4,,,,,"N","N"
"AN",6578,"AN",6578,"BXH","Gauge, Gas Pressure, Cylinder/Pipeline","1",1,,"N","N",78,,,868.260986328125,4,,,,,"N","N"
"AN",6578,"AN",6578,"BXJ","Clip, Nose","1",1,,"Y","N",78,,,868.622497558594,4,,,,,"N","N"
"AN",6578,"AN",6578,"BXK","Gas, Calibration (Specified Concentration)","1",1,,"N","N",78,,,868.640014648438,4,,,,,"N","N"
"AN",6578,"AN",6578,"BXL","Algesimeter, Manual","1",1,,"Y","N",78,,,868.10302734375,4,,,,,"N","N"
"AN",6578,"AN",6578,"BXM","Stimulator, Nerve, Ac-Powered","2",2,,"N","P",80,,,868.277526855469,1,,,,,"N","N"
"AN",6578,"AN",6578,"BXN","Stimulator, Nerve, Battery-Powered","2",2,,"N","P",80,,,868.277526855469,1,,,,,"N","N"
