code;text;long;starcode;never_main;gender;nonspecific
A000;Kolera som skyldes Vibrio cholerae 01, biovar cholerae;Kolera som skyldes Vibrio cholerae 01, biovar cholerae;;;;
A001;Kolera som skyldes Vibrio cholerae 01, biovar eltor;Kolera som skyldes Vibrio cholerae 01, biovar eltor;;;;
A009;Uspesifisert kolera;Uspesifisert kolera;;;;X
A010;Tyfoidfeber;Tyfoidfeber;;;;
A011;Paratyfoidfeber A;Paratyfoidfeber A;;;;
A012;Paratyfoidfeber B;Paratyfoidfeber B;;;;
A013;Paratyfoidfeber C;Paratyfoidfeber C;;;;
A014;Uspesifisert paratyfoidfeber;Uspesifisert paratyfoidfeber;;;;X
A020;Salmonellaenteritt;Salmonellaenteritt;;;;
A021;Salmonellasepsis;Salmonellasepsis;;;;
A022;Lokalisert salmonellainfeksjon;Lokaliserte salmonellainfeksjoner;;;;
A028;Annen spesifisert salmonellainfeksjon;Andre spesifiserte salmonellainfeksjoner;;;;
A029;Uspesifisert salmonellainfeksjon;Uspesifisert salmonellainfeksjon;;;;X
A030;Shigellose som skyldes Shigella dysenteriae;Shigellose som skyldes Shigella dysenteriae;;;;
A031;Shigellose som skyldes Shigella flexneri;Shigellose som skyldes Shigella flexneri;;;;
A032;Shigellose som skyldes Shigella boydii;Shigellose som skyldes Shigella boydii;;;;
A033;Shigellose som skyldes Shigella sonnei;Shigellose som skyldes Shigella sonnei;;;;
A038;Annen spesifisert shigellose;Annen spesifisert shigellose;;;;
A039;Uspesifisert shigellose;Uspesifisert shigellose;;;;X
A040;Infeksjon som skyldes enteropatogen Escherichia coli;Infeksjon som skyldes enteropatogen Escherichia coli;;;;
A041;Infeksjon som skyldes enterotoksigen Escherichia coli;Infeksjon som skyldes enterotoksigen Escherichia coli;;;;
A042;Infeksjon som skyldes enteroinvasiv Escherichia coli;Infeksjon som skyldes enteroinvasiv Escherichia coli;;;;
A043;Infeksjon som skyldes enterohemoragisk Escherichia coli;Infeksjon som skyldes enterohemoragisk Escherichia coli;;;;
A044;Annen tarminfeksjon som skyldes Escherichia coli;Andre tarminfeksjoner som skyldes Escherichia coli;;;;
A045;Enteritt som skyldes Campylobacter;Enteritt som skyldes Campylobacter;;;;
A046;Enteritt som skyldes Yersinia enterocolitica;Enteritt som skyldes Yersinia enterocolitica;;;;
A047;Enterokolitt som skyldes Clostridium difficile;Enterokolitt som skyldes Clostridium difficile;;;;
A048;Annen spesifisert bakteriell tarminfeksjon;Andre spesifiserte bakterielle tarminfeksjoner;;;;
A049;Uspesifisert bakteriell tarminfeksjon;Uspesifisert bakteriell tarminfeksjon;;;;X
A050;Matforgiftning som skyldes Staphylococcus;Matforgiftning som skyldes Staphylococcus;;;;
A051;Botulisme;Botulisme;;;;
