code_type;code;text_long;text;only_secondary;gender_specific;new_2017;not_in_2016
NCRP;AAB06K;Perkutan biopsi av calvariet, ultralydveiledet;Perkutan biopsi av calvariet, ultralydveiledet;;;;
NCRP;AAE11B;Perkutan trombektomi eller embolektomi i intrakraniell arterie;Perkutan trombektomi el. embolektomi i intrakraniell arterie;;;;
NCRP;AAI00B;Injeksjon av teraputisk substans i intrakraniell arterie;Injeksjon av teraputisk substans i intrakraniell arterie;;;1;1
NCRP;AAI20K;Injeksjon av terapeutisk substans i calvariet, ultralydveiledet;Injeksjon av terapeutisk substans i calvariet, UL-veiledet;;;;
NCRP;AAM31B;Endovaskulær okklusjon av intrakraniell arteriovenøs fistel;Endovaskulær okklusjon av intrakraniell arteriovenøs fistel;;;;
NCRP;AAP51B;Perkutan arterioplastikk på intrakraniell arterie;Perkutan arterioplastikk på intrakraniell arterie;;;;
NCRP;AAQ61B;Perkutan innlegging av stent i intrakraniell arterie;Perkutan innlegging av stent i intrakraniell arterie;;;;
NCRP;AAT11B;Intrakraniell endovaskulær trombolyse;Intrakraniell endovaskulær trombolyse;;;;
NCRP;AAW96X;Annen bildeveiledet intervensjon på kraniet eller intrakranielle strukturer;Annen bildeveil intervensjon på kraniet el intrakran strukt;;;;
NCRP;AAW97B;Annet intrakranielt endovaskulært inngrep;Annet intrakranielt endovaskulært inngrep;;;;
NCRP;AAY00B;Endovaskulær okklusjon av intrakranielt aneurisme;Endovaskulær okklusjon av intrakranielt aneurisme;;;;
NCRP;AAY20B;Endovaskulær okklusjon av intrakraniell arteriovenøs malformasjon;Endovaskulær okkl av intrakran arteriovenøs malformasjon;;;;
NCRP;AAY30B;Endovaskulær okklusjon av intrakraniell arterie;Endovaskulær okklusjon av intrakraniell arterie;;;1;1
NCRP;AAY31B;Midlertidig endovaskulær okklusjon av intrakraniell arterie;Midlertidig endovaskulær okklusjon av intrakraniell arterie ;;;1;1
NCRP;AAY40B;Endovaskulær okklusjon av arterie til intrakraniell tumor;Endovaskulær okklusjon av arterie til intrakraniell tumor;;;;
NCRP;ABI10B;Injeksjon av terapeutisk substans i spinalarterie;Injeksjon av terapeutisk substans i spinalarterie;;;;
NCRP;ABO10A;Perkutan destruksjon av lesjon i nerverot, gjennomlysning;Perkutan destruksjon av lesjon i nerverot, gjennomlysning;;;;
NCRP;ABO10D;Perkutan destruksjon av lesjon i nerverot, CT-veiledet;Perkutan destruksjon av lesjon i nerverot, CT-veiledet;;;;
NCRP;ABO20A;Perkutan chordotomi, gjennomlysning;Perkutan chordotomi, gjennomlysning;;;;
NCRP;ABO20D;Perkutan chordotomi, CT-veiledet;Perkutan chordotomi, CT-veiledet;;;;
NCRP;ABP10B;Perkutan arterioplastikk på spinalarterie;Perkutan arterioplastikk på spinalarterie;;;;
NCRP;ABW96X;Annen bildeveiledet intervensjon på spinalkanal, ryggmarg eller nerverøtter;Ann. bildeveil intervensj spinalkanal/ryggmarg/nerverøtter;;;;
NCRP;ABY10B;Perkutan endovaskulær okklusjonsbehandling i spinalarterier;Perkutan endovaskulær okklusjonsbehandling i spinalarterier;;;;
NCRP;AWW96X;Annen bildeveiledet reintervensjon på nervesystemet;Annen bildeveiledet reintervensjon på nervesystemet;;;;
NCRP;AXW96X;Annen bildeveiledet intervensjon på nervesystemet;Annen bildeveiledet intervensjon på nervesystemet;;;1;1
NCRP;BAA00K;Punksjon av tyreoidea, ultralydveiledet;Punksjon av tyreoidea, ultralydveiledet;;;;
NCRP;BAA03K;Aspirasjonscytologi fra tyreoidea, ultralydveiledet;Aspirasjonscytologi fra tyreoidea, ultralydveiledet;;;;
NCRP;BAB06K;Nålebiopsi av tyreoidea, ultralydveiledet;Nålebiopsi av tyreoidea, ultralydveiledet;;;;
NCRP;BBA00K;Punksjon av paratyreoidea, ultralydveiledet;Punksjon av paratyreoidea, ultralydveiledet;;;;
